node,betweenness
2,0.0
3,0.0
4,2.081812317090637e-06
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,1.203424764109197e-07
30,0.0
31,0.0
34,7.543020135595306e-07
36,0.0
37,0.0
38,0.0
39,1.5061092500572622e-07
40,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,1.5200603055470695e-11
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,6.378173042075504e-08
56,3.952156794422381e-10
57,0.0
58,0.0
59,0.0
61,0.0
62,0.0
63,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,2.293873912822771e-06
72,9.309024042547876e-08
73,0.0
74,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,6.572021517318649e-06
83,2.432096488875311e-10
84,1.2407834054363342e-07
85,0.0
86,0.0
88,0.0006790338991085605
89,0.0
90,0.0
91,0.0
92,0.0
93,4.39014218945979e-07
94,0.0
95,0.0
96,0.0
97,0.0
99,0.0
101,0.0
102,0.0
103,0.0
104,1.8240723666564834e-10
106,0.0
107,7.600301527735348e-11
108,0.0
110,0.0
113,0.0
114,1.3680542749923627e-10
115,0.0
116,1.5200603055470695e-11
117,0.0
119,0.0
120,0.0
121,0.0
122,0.0
124,0.0
125,0.0
126,0.0
128,2.2407159257825283e-08
130,0.0
131,0.0
133,0.0
134,0.0
136,0.0
137,0.0
138,0.0
140,9.120361833282417e-11
141,0.0
142,0.0
143,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
157,0.0
159,0.0
161,0.0
162,0.0
163,0.0
167,0.0
168,0.0
171,0.0
173,1.5200603055470695e-11
174,0.0
178,0.0
180,0.0
181,0.0
183,0.0
184,0.0
185,0.0
186,4.0969467453082467e-07
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
195,0.0
197,0.0
199,0.0
201,0.0
202,0.0
204,0.0
205,2.1123470624551683e-05
206,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
216,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
226,0.0
227,0.0
228,4.681785741084974e-09
229,1.3422132497980624e-08
230,0.0
231,2.8061387060307644e-06
232,5.067870869771918e-07
233,6.24828263558578e-08
234,6.657864138296165e-08
235,1.415013750794669e-06
236,0.0
237,0.0
238,0.0
240,0.0
241,0.0
243,6.864457044419594e-06
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
