node,lineal_threshold_alternative
2,1
3,1
4,93
5,26
6,85
7,18
8,1029
9,1
10,1
11,1
13,4
14,1
15,1036
16,26
17,4
18,1
19,102
20,1
22,1
23,19
24,57
25,1
26,186
27,53
28,11
30,1
31,1
34,31
36,1
37,1
38,3
39,7
40,30
42,212
43,197
44,42
45,43
46,1
47,2
48,2
49,2
50,19
51,251
52,6
53,8
54,1
55,3
56,14
57,29
58,1
59,244
61,1
62,19
63,63
65,248
66,3
67,3
68,20
69,3
70,1
71,378
72,5
73,11
74,1
76,24
77,1526
78,169
79,15
80,72
81,260
83,12
84,40
85,2
86,226
88,31712
89,18
90,2
91,80
92,63
93,17
94,497
95,10
96,6
97,1
99,6
101,1
102,1
103,1
104,4
106,106
107,2
108,6
110,1
113,1
114,10
115,1
116,2
117,1
119,1
120,1
121,1
122,1
124,4
125,1
126,1
128,2
130,1
131,1
133,1
134,4
136,1
137,7
138,1485
140,6
141,2
142,9
143,129
145,10
146,2
147,1
148,1
149,1
151,3
152,1
153,1
154,2
155,1
157,6
159,5
161,24
162,2
163,25
167,1
168,12
171,67
173,2
174,1
178,32
180,1
181,2
183,7
184,1
185,1
186,17
187,1
188,796
189,130
190,6
191,2
192,1
195,2
197,3
199,1
201,1
202,6
204,1
205,963
206,749
208,5
209,5
210,6
211,199
212,2
213,470
214,179
216,552
220,1938
221,67
222,50
223,103
224,1
226,168
227,2
228,53
229,120
230,4
231,95
232,9
233,7
234,3
235,50
236,582
237,1
238,1
240,78
241,13
243,213
245,795
246,1
247,3
248,268
249,37
250,8
251,2
252,1
253,17
254,1
255,5
256,1
257,2
258,1
259,1
261,4
263,3
264,1
265,1
266,35
267,6
268,246
269,5
270,2
271,15
272,15
273,120
274,240
276,1
277,1
280,495
283,2128
285,2
286,1
287,2
291,137
292,2
293,4
295,2
296,1
297,40
298,76
299,3
300,1
301,1060
304,1
305,17
306,1
307,38
308,156
309,2
310,81
311,8
313,1
314,39
315,2
316,6
317,181
318,8
319,4
320,3
321,5
322,467
323,257
326,41
327,170
328,1
329,43
330,169
331,1
332,2
333,2
335,399
336,3
337,2
338,1
339,9
340,1
341,1
344,1
349,5057
350,15
351,1
352,293
353,2
354,1
355,1
356,751
357,117
358,152
359,1
360,8
362,2
363,21
364,1
365,293
366,4
367,8
368,1
369,1409
370,109
371,1
372,4
374,386
376,129
377,2
378,10
379,1
381,16
382,1
383,829
385,81
386,2
387,588
388,1
389,274
390,18
391,1
392,1
393,2
394,1
396,233
397,2
398,3
399,1
400,78
401,2
402,13
